Kod_Kursus,Nama_Kursus,Tahun_Kursus,Tempoh_Kursus,Bidang,Sub_Bidang,Skim_Gred,Skim_Kod,Nama_Skim
CAA0053,KURSUS PEMINDAHAN TEKNOLOGI PEMPROSESAN PRODUK PERIKANAN (OTOSHIMI)(UPSKILLING-GS),2024,4,PERIKANAN,PENGEMBANGAN PERIKANAN,A22,A,Pengangkutan
CAB0001,KURSUS PENGAWETAN IKAN LUTSINAR (UPSKILLING-PP),2023,4,PERIKANAN,PENYELIDIKAN PERIKANAN,AB29,A,Pengangkutan
CCA0020,MICROSOFT POWERPOINT (ADVANCE),2022,4,ICT,Pembangunan Bahan Kursus,A19,A,Pengangkutan
CCA0028,PENGURUSAN ASET ALIH KERAJAAN MELALUI SISTEM MYSPA,2023,3,PENGURUSAN,Pengurusan Dokumen Rasmi,A19,A,Pengangkutan
CCA0039,TRAIN THE TRAINER,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Pengukuhan Pasukan,A41,A,Pengangkutan
CCA0043,PENGURUSAN EMOSI DAN STRESS,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
CCA0045,KREATIVITI DI TEMPAT KERJA,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
CCA0049,PENGURUSAN TATATERTIB DALAM PERKHIDMATAN AWAM,2023,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
CCA0050,"PROTOKOL, ETIKA SOSIAL DAN PENGURUSAN MAJLIS",2023,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
CCA0056,Kursus Peranan Penyelia dalam Pengurusan Tatatertib,2024,2,KEPIMPINAN,Kepimpinan,A36,A,Pengangkutan
CCA0077,Kursus Etika Kerja Penjawat Awam,2024,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A41,A,Pengangkutan
DDA0019,"Kursus Advance Presentation Google Slide, Visme,Prezi & Sozi",2022,3,ICT,Pengurusan Projek ICT,A41,A,Pengangkutan
DDA0023,Kursus Teknologi Aplikasi Racun Perosak/ Pesticides Aplication Technology (PAT),2022,1,PERTANIAN,PENGUATKUASAAN PERTANIAN,A19,A,Pengangkutan
DDA0030,"Kursus Pengurusan Fail, Surat & Rekod Rasmi Kerajaan",2023,3,PENGURUSAN,Pengurusan Dokumen Rasmi,A19,A,Pengangkutan
DDA0060,Kursus Penyeliaan Berkesan,2024,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
EAA0022,KURSUS ASAS PENGURUSAN LEMBU PEDAGING (UPSKILLING-PP),2024,3,VETERINAR,TERNAKAN,A22,A,Pengangkutan
EEA0024,FERTIGASI DALAM PERTANIAN LESTARI,2022,2,PERTANIAN,PENGURUSAN LADANG,A36,A,Pengangkutan
EEA0034,TATACARA PELUPUSAN ASET TAK ALIH,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
EEA0036,PENULISAN DOKUMEN RASMI KERAJAAN,2023,2,PENGURUSAN,Pengurusan Dokumen Rasmi,A19,A,Pengangkutan
EEA0037,PEMANTAPAN PERSONAL DAN ORGANISASI,2023,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A36,A,Pengangkutan
EEA0055,KOMUNIKASI BERKESAN ZON SELATAN,2023,3,KOMUNIKASI,Perundingan,A22,A,Pengangkutan
EEA0065,TEKNIK PERUNDINGAN YANG BERKESAN,2024,2,KOMUNIKASI,Perundingan,A36,A,Pengangkutan
EEA0087,"PENGUKUHAN GOVERNANS, INTEGRITI DAN ANTIRASUAH",2024,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
FZA0001,"Kursus Health, Fitness and Happiness",2022,2,KESIHATAN,KESIHATAN,A36,A,Pengangkutan
FZA0003,Kursus Pengurusan Harta dan Perancangan Pewarisan,2022,2,PENGURUSAN,Harta Pusaka,A19,A,Pengangkutan
FZA0004,Kursus Persediaan Psikologi untuk Bakal Pesara,2023,2,PSIKOLOGI,Psikologi Dan Minda,A19,A,Pengangkutan
FZA0005,Faedah dan Pengurusan Persaraan - Apa Bakal Pesara Perlu Tahu?,2021,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),AB26,A,Pengangkutan
FZA0008,Kursus Literasi Kewangan: Demi Esok dan Masa Depan,2022,2,KEWANGAN,Kewangan Peribadi,A41,A,Pengangkutan
IEA0021,KURSUS TEKNIK DAN KREATIVITI PRODUKSI DRONE,2024,4,PENYIARAN,KEJURUTERAAN BERSEPADU,A19,A,Pengangkutan
IIA0025,KURSUS TATACARA PENGURUSAN KEWANGAN,2023,2,KEWANGAN,Perolehan,A19,A,Pengangkutan
JAA0001,KURSUS TRANSFORMASI TEKNOLOGI DAN PENGURUSAN TANAMAN NANAS 2.0 INTERMEDIATE (UPSKILLING-PP),2023,3,PERTANIAN,PENGEMBANGAN PERTANIAN,A19,A,Pengangkutan
KAA0021,Kursus ISO 9001:2015 Pelaksanaan Pengurusan Risiko,2024,2,PENGURUSAN,Kualiti,A29,A,Pengangkutan
KAA0022,Kursus ISO 9001:2015 Audit Dalaman,2024,2,PENGURUSAN,Kualiti,A41,A,Pengangkutan
KBA0001,Power Up Your English: Effective Letters and Emails,2022,3,BAHASA,English,A41,A,Pengangkutan
KBA0002,Power Up Your English Series: Better Pronunciation,2021,3,BAHASA,English,A44,A,Pengangkutan
KBA0005,Language Awareness for Communicative Success: Grammar Essentials,2021,2,BAHASA,English,A44,A,Pengangkutan
KBA0006,Power Up Your English Series: Writing Essentials,2021,4,BAHASA,English,A44,A,Pengangkutan
